#,Product,Grade,Vat Type,Spec.,Battery Health,Qty, Offer,Order Qty, Total,,Notes:
946,Apple iPhone 16 Pro Max 512GB Gold - Grade B - Standard Vat - Generic / Codes - 80%+ Battery Health,Grade B,Standard,UK / EU,80%+,1, £ -   ,0, £ -   ,,
947,Apple iPhone 16+ 128GB Black - Grade B - Standard Vat - Generic / Codes - 80%+ Battery Health,Grade B,Standard,UK / EU,80%+,1, £ -   ,0, £ -   ,,
948,Apple iPhone 16+ 128GB Black - Grade C - Standard Vat - Generic / Codes - 80%+ Battery Health,Grade C,Standard,UK / EU,80%+,1, £ -   ,0, £ -   ,,
949,Apple iPhone 16+ 128GB Blue - Grade C - Standard Vat - Generic / Codes - 80%+ Battery Health,Grade C,Standard,UK / EU,80%+,1, £ -   ,0, £ -   ,,
950,Apple iPhone 16+ 128GB Blue - Pristine A+ Open Box - Standard Vat - Generic / Codes - 80%+ Battery Health,Pristine A+ Open Box,Standard,UK / EU,80%+,2, £ -   ,0, £ -   ,,
951,Apple iPhone 16+ 128GB Pink - Grade A - Standard Vat - Generic / Codes - 80%+ Battery Health,Grade A,Standard,UK / EU,80%+,1, £ -   ,0, £ -   ,,
952,Apple iPhone 16+ 128GB Pink - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
953,Apple iPhone 16+ 256GB Blue - Pristine A+ Open Box - Standard Vat - Generic / Codes - 80%+ Battery Health,Pristine A+ Open Box,Standard,UK / EU,80%+,1, £ -   ,0, £ -   ,,
954,Apple iPhone 16+ 256GB Pink - Pristine A+ Open Box - Standard Vat - Generic / Codes - 80%+ Battery Health,Pristine A+ Open Box,Standard,UK / EU,80%+,1, £ -   ,0, £ -   ,,
955,Apple iPhone 16+ 256GB White - Pristine A+ Open Box - Standard Vat - Generic / Codes - 80%+ Battery Health,Pristine A+ Open Box,Standard,UK / EU,80%+,1, £ -   ,0, £ -   ,,
956,Apple iPhone 16+ 512GB Pink - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
957,Apple iPhone 4 8GB Black - Grade C - Standard Vat - Generic / Codes - 80%+ Battery Health,Grade C,Standard,UK / EU,80%+,1, £ -   ,0, £ -   ,,
958,Apple iPhone 5 16GB White - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
959,Apple iPhone 5 16GB White - Grade C - Standard Vat - Generic / Codes,Grade C,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
960,Apple iPhone 5c 16GB Pink - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
961,Apple iPhone 5s 16GB Space Grey - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
962,Apple iPhone 5s 16GB Space Grey - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
963,Apple iPhone 5s 16GB Space Grey - Grade C - Standard Vat - Generic / Codes - 80%+ Battery Health,Grade C,Standard,UK / EU,80%+,1, £ -   ,0, £ -   ,,
964,Apple iPhone 6 16GB Silver - Grade C - Standard Vat - Generic / Codes - 80%+ Battery Health,Grade C,Standard,UK / EU,80%+,1, £ -   ,0, £ -   ,,
965,Apple iPhone 6+ 64GB Space Grey - Grade B - Standard Vat - Generic / Codes - 80%+ Battery Health,Grade B,Standard,UK / EU,80%+,1, £ -   ,0, £ -   ,,
966,Apple iPhone 6s 128GB Space Grey - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
967,Apple iPhone 6s 32GB Space Grey - Grade C - Standard Vat - Generic / Codes - 80%+ Battery Health,Grade C,Standard,UK / EU,80%+,1, £ -   ,0, £ -   ,,
968,Apple iPhone 6s 64GB Space Grey - Grade C - Standard Vat - Generic / Codes - 80%+ Battery Health,Grade C,Standard,UK / EU,80%+,1, £ -   ,0, £ -   ,,
969,Apple iPhone 6s+ 32GB Space Grey - Grade C - Standard Vat - Generic / Codes - 80%+ Battery Health,Grade C,Standard,UK / EU,80%+,1, £ -   ,0, £ -   ,,
970,Apple iPhone 7 128GB Rose Gold - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
971,Apple iPhone 7 32GB Black - Grade B - Standard Vat - Generic / Codes,Grade B,Standard,UK / EU,Untested,2, £ -   ,0, £ -   ,,
972,Apple iPhone 7+ 32GB Black - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
973,Apple iPhone 7+ 32GB Jet Black - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
974,Apple iPhone 8+ 64GB SpGr - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
975,Apple iPhone 8+ 64GB SpGr - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
976,Apple iPhone SE 16GB Rose Gold - Grade C - Standard Vat - Generic / Codes - 80%+ Battery Health,Grade C,Standard,UK / EU,80%+,1, £ -   ,0, £ -   ,,
977,Apple iPhone SE 32GB Rose Gold - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
978,Apple iPhone SE2 128GB Black - Grade B - Marginal Vat - Generic / Codes,Grade B,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
979,Apple iPhone SE2 128GB Black - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,2, £ -   ,0, £ -   ,,
980,Apple iPhone SE2 64GB Black - Grade B - Marginal Vat - Generic / Codes,Grade B,Marginal,UK / EU,Untested,2, £ -   ,0, £ -   ,,
981,Apple iPhone SE2 64GB Black - Grade B - Standard Vat - Generic / Codes,Grade B,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
982,Apple iPhone SE2 64GB Black - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
983,Apple iPhone SE2 64GB Black - Grade C - Standard Vat - Generic / Codes - 80%+ Battery Health,Grade C,Standard,UK / EU,80%+,1, £ -   ,0, £ -   ,,
984,Apple iPhone SE2 64GB Black - Pristine A+ - Standard Vat - Generic / Codes - 80%+ Battery Health,Pristine A+,Standard,UK / EU,80%+,1, £ -   ,0, £ -   ,,
985,Apple iPhone SE2 64GB Red - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,2, £ -   ,0, £ -   ,,
986,Apple iPhone SE2 64GB White - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
987,Apple iPhone SE3 128GB Midnight - Grade B - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade B,Marginal,UK / EU,80%+,2, £ -   ,0, £ -   ,,
988,Apple iPhone SE3 128GB Midnight - Grade B (Non-Genuine) - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade B (Non-Genuine),Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
989,Apple iPhone SE3 128GB Midnight - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,4, £ -   ,0, £ -   ,,
990,Apple iPhone SE3 128GB Midnight - Grade C - Standard Vat - Generic / Codes - 80%+ Battery Health,Grade C,Standard,UK / EU,80%+,22, £ -   ,0, £ -   ,,
991,Apple iPhone SE3 128GB Red - Grade B - Standard Vat - Generic / Codes - 80%+ Battery Health,Grade B,Standard,UK / EU,80%+,1, £ -   ,0, £ -   ,,
992,Apple iPhone SE3 128GB Red - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,2, £ -   ,0, £ -   ,,
993,Apple iPhone SE3 128GB Starlight - Pristine A+ Open Box - Standard Vat - Generic / Codes - 80%+ Battery Health,Pristine A+ Open Box,Standard,UK / EU,80%+,1, £ -   ,0, £ -   ,,
994,Apple iPhone SE3 256GB Midnight - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
995,Apple iPhone SE3 256GB Midnight - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,4, £ -   ,0, £ -   ,,
996,Apple iPhone SE3 256GB Starlight - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
997,Apple iPhone SE3 64GB Midnight - Grade A - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade A,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
998,Apple iPhone SE3 64GB Midnight - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
999,Apple iPhone SE3 64GB Midnight - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,5, £ -   ,0, £ -   ,,
1000,Apple iPhone SE3 64GB Midnight - Grade C - Standard Vat - Generic / Codes - 80%+ Battery Health,Grade C,Standard,UK / EU,80%+,2, £ -   ,0, £ -   ,,
1001,Apple iPhone SE3 64GB Midnight - Pristine A+ Open Box - Standard Vat - China / HK Spec - 80%+ Battery Health,Pristine A+ Open Box,Standard,China / HK,80%+,18, £ -   ,0, £ -   ,,
1002,Apple iPhone SE3 64GB Midnight - Pristine A+ Open Box - Standard Vat - Generic / Codes - 80%+ Battery Health,Pristine A+ Open Box,Standard,UK / EU,80%+,4, £ -   ,0, £ -   ,,
1003,Apple iPhone SE3 64GB Red - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
1004,Apple iPhone SE3 64GB Red - Grade C - Standard Vat - Generic / Codes - 80%+ Battery Health,Grade C,Standard,UK / EU,80%+,1, £ -   ,0, £ -   ,,
1005,Apple iPhone SE3 64GB Red - Pristine A+ Open Box - Standard Vat - Generic / Codes - 80%+ Battery Health,Pristine A+ Open Box,Standard,UK / EU,80%+,2, £ -   ,0, £ -   ,,
1006,Apple iPhone SE3 64GB Starlight - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
1007,Apple iPhone X 256GB Silver - Grade C - Standard Vat - Generic / Codes - 80%+ Battery Health,Grade C,Standard,UK / EU,80%+,1, £ -   ,0, £ -   ,,
1008,Apple iPhone X 64GB SpGr - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
1009,Apple iPhone XR 128GB Black - Grade A - Marginal Vat - Generic / Codes,Grade A,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1010,Apple iPhone XR 128GB Black - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
1011,Apple iPhone XR 128GB Black - Grade C - Standard Vat - Generic / Codes,Grade C,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1012,Apple iPhone XR 128GB Black - Grade C (Non-Genuine) - Marginal Vat - Generic / Codes,Grade C (Non-Genuine),Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1013,Apple iPhone XR 128GB RED - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
1014,Apple iPhone XR 128GB White - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1015,Apple iPhone XR 128GB Yellow - Grade C - Standard Vat - Generic / Codes,Grade C,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1016,Apple iPhone XR 256GB Coral - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1017,Apple iPhone XR 64GB Black - Grade B - Marginal Vat - Generic / Codes,Grade B,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1018,Apple iPhone XR 64GB Black - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,5, £ -   ,0, £ -   ,,
1019,Apple iPhone XR 64GB Black - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,5, £ -   ,0, £ -   ,,
1020,Apple iPhone XR 64GB Blue - Grade B - Standard Vat - Generic / Codes,Grade B,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1021,Apple iPhone XR 64GB Blue - Grade B - Standard Vat - Generic / Codes - 80%+ Battery Health,Grade B,Standard,UK / EU,80%+,1, £ -   ,0, £ -   ,,
1022,Apple iPhone XR 64GB Blue - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,2, £ -   ,0, £ -   ,,
1023,Apple iPhone XR 64GB Coral - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,2, £ -   ,0, £ -   ,,
1024,Apple iPhone XR 64GB Red - Grade A - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade A,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
1025,Apple iPhone XR 64GB Red - Grade B - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade B,Marginal,UK / EU,80%+,2, £ -   ,0, £ -   ,,
1026,Apple iPhone XR 64GB Red - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,5, £ -   ,0, £ -   ,,
1027,Apple iPhone XR 64GB Red - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
1028,Apple iPhone XR 64GB White - Grade B - Marginal Vat - Generic / Codes,Grade B,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1029,Apple iPhone XR 64GB White - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,2, £ -   ,0, £ -   ,,
1030,Apple iPhone XR 64GB White - Grade C (Non-Genuine) - Marginal Vat - Generic / Codes,Grade C (Non-Genuine),Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1031,Apple iPhone XR 64GB Yellow - Grade A - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade A,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
1032,Apple iPhone XR 64GB Yellow - Grade B - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade B,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
1033,Apple iPhone Xs 256GB Gold - Grade C - Standard Vat - Generic / Codes - 80%+ Battery Health,Grade C,Standard,UK / EU,80%+,1, £ -   ,0, £ -   ,,
1034,Apple iPhone Xs 256GB Space Grey - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1035,Apple iPhone Xs 64GB Gold - Grade A - Marginal Vat - Generic / Codes,Grade A,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1036,Apple iPhone Xs 64GB Gold - Grade B - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade B,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
1037,Apple iPhone Xs 64GB Gold - Grade B - Standard Vat - Generic / Codes - 80%+ Battery Health,Grade B,Standard,UK / EU,80%+,1, £ -   ,0, £ -   ,,
1038,Apple iPhone Xs 64GB Gold - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1039,Apple iPhone Xs 64GB Space Grey - Grade A - Marginal Vat - Generic / Codes,Grade A,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1040,Apple iPhone Xs 64GB Space Grey - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1041,Apple iPhone Xs 64GB Space Grey - Grade C - Standard Vat - Generic / Codes - 80%+ Battery Health,Grade C,Standard,UK / EU,80%+,1, £ -   ,0, £ -   ,,
1042,Apple iPhone Xs Max 64GB Gold - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
1043,Apple iPhone Xs Max 64GB Space Grey - Grade A - Standard Vat - Generic / Codes - 80%+ Battery Health,Grade A,Standard,UK / EU,80%+,1, £ -   ,0, £ -   ,,
1044,Apple iPhone Xs Max 64GB Space Grey - Grade B - Standard Vat - Generic / Codes - 80%+ Battery Health,Grade B,Standard,UK / EU,80%+,1, £ -   ,0, £ -   ,,
1045,Apple iPhone Xs Max 64GB Space Grey - Grade B (Non-Genuine) - Standard Vat - Generic / Codes - 80%+ Battery Health,Grade B (Non-Genuine),Standard,UK / EU,80%+,1, £ -   ,0, £ -   ,,
1046,Apple iPhone Xs Max 64GB Space Grey - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
1047,Apple iPhone Xs Max 64GB Space Grey - Grade C - Standard Vat - Generic / Codes - 80%+ Battery Health,Grade C,Standard,UK / EU,80%+,1, £ -   ,0, £ -   ,,
1048,Apple Smart Folio iPad 10th Gen Blue - Grade A - Standard Vat - Generic / Codes,Grade A,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1049,Apple Smart Folio iPad 10th Gen Blue - Grade B - Standard Vat - Generic / Codes,Grade B,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1050,"Apple Smrt Folio iPadAir13"" ChrclGry - Grade A - Standard Vat - Generic / Codes",Grade A,Standard,UK / EU,Untested,27, £ -   ,0, £ -   ,,
1051,"Apple Smrt Folio iPadAir13"" ChrclGry - Grade B - Standard Vat - Generic / Codes",Grade B,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1052,Doro 612 PhoneEasy Black - Grade A - Marginal Vat - Generic / Codes,Grade A,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1053,Doro 612 PhoneEasy Black - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1054,Doro 6520 Black - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1055,Doro 6880 128MB Graphite - Grade A - Standard Vat - Generic / Codes,Grade A,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1056,Doro 8100 32GB Graphite Grey - Grade B - Marginal Vat - Generic / Codes,Grade B,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1057,Doro 8100 32GB Graphite Grey - Grade B - Standard Vat - Generic / Codes,Grade B,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1058,Doro 8100 32GB Graphite Grey - Grade C - Standard Vat - Generic / Codes,Grade C,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1059,Google Pixel 3A 64GB Purple-ish - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1060,Google Pixel 4a 4G 128GB Just Black - Grade B - Marginal Vat - Generic / Codes,Grade B,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1061,Google Pixel 4a 4G 128GB Just Black - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1062,Google Pixel 4a 4G 128GB Just Black - Grade C - Standard Vat - Generic / Codes,Grade C,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1063,Google Pixel 4a 5G 128GB Just Black - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1064,Google Pixel 5 5G 128GB SortaSage Grn - Grade C - Standard Vat - Generic / Codes,Grade C,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1065,Google Pixel 6a 5G 128GB Sage Green - Grade C - Standard Vat - Generic / Codes,Grade C,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1066,Google Pixel 6Pro 5G 128GB CloudyWhte - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1067,Google Pixel 7 5G 128GB Black - Grade C - Standard Vat - Generic / Codes,Grade C,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1068,Google Pixel 7 5G 128GB Black - Pristine A+ - Standard Vat - China / HK Spec,Pristine A+,Standard,China / HK,Untested,30, £ -   ,0, £ -   ,,
1069,Google Pixel 7 5G 128GB Yellow - Grade B - Standard Vat - Generic / Codes,Grade B,Standard,UK / EU,Untested,2, £ -   ,0, £ -   ,,
1070,Google Pixel 7 5G 128GB Yellow - Grade C - Standard Vat - Generic / Codes,Grade C,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1071,Google Pixel 7a 5G 128GB SeaBlue - Grade A - Standard Vat - Generic / Codes,Grade A,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1072,Google Pixel 7a 5G 128GB SeaBlue - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1073,Google Pixel 7a 5G 128GB Snow - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1074,Google Pixel 7Pro 5G 128GB Black - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,4, £ -   ,0, £ -   ,,
1075,Google Pixel 7Pro 5G 128GB Black - Grade C - Standard Vat - Generic / Codes,Grade C,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1076,Google Pixel 7Pro 5G 128GB Green - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,3, £ -   ,0, £ -   ,,
1077,Google Pixel 7Pro 5G 128GB Green - Grade C - Standard Vat - Generic / Codes,Grade C,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1078,Google Pixel 7Pro 5G 128GB White - Grade B - Standard Vat - China / HK Spec,Grade B,Standard,China / HK,Untested,1, £ -   ,0, £ -   ,,
1079,Google Pixel 7Pro 5G 128GB White - Grade C - Standard Vat - Generic / Codes,Grade C,Standard,UK / EU,Untested,2, £ -   ,0, £ -   ,,
1080,Google Pixel 7Pro 5G 256GB Black - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,5, £ -   ,0, £ -   ,,
1081,Google Pixel 7Pro 5G 256GB Black - Grade C - Standard Vat - China / HK Spec,Grade C,Standard,China / HK,Untested,1, £ -   ,0, £ -   ,,
1082,Google Pixel 7Pro 5G 256GB Green - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1083,Google Pixel 8 128GB Hazel - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,2, £ -   ,0, £ -   ,,
1084,Google Pixel 8 128GB Mint - Grade B - Marginal Vat - Generic / Codes,Grade B,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1085,Google Pixel 8 128GB Mint - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1086,Google Pixel 8 128GB Rose - Pristine A+ Open Box - Standard Vat - Generic / Codes,Pristine A+ Open Box,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1087,Google Pixel 8 256GB Hazel - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,2, £ -   ,0, £ -   ,,
1088,Google Pixel 8 256GB Obsidian - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,3, £ -   ,0, £ -   ,,
1089,Google Pixel 8 Pro 128GB Bay Blue - Grade B - Standard Vat - Generic / Codes,Grade B,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1090,Google Pixel 8 Pro 128GB Mint - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,2, £ -   ,0, £ -   ,,
1091,Google Pixel 8 Pro 128GB Obsidian - Grade A - Marginal Vat - Generic / Codes,Grade A,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1092,Google Pixel 8 Pro 128GB Obsidian - Grade A - Standard Vat - Generic / Codes,Grade A,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1093,Google Pixel 8 Pro 128GB Obsidian - Grade B - Standard Vat - Generic / Codes,Grade B,Standard,UK / EU,Untested,3, £ -   ,0, £ -   ,,
1094,Google Pixel 8 Pro 128GB Obsidian - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,9, £ -   ,0, £ -   ,,
1095,Google Pixel 8 Pro 128GB Obsidian - Grade C - Standard Vat - Generic / Codes,Grade C,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1096,Google Pixel 8 Pro 128GB Porcelain - Pristine A+ Open Box - Standard Vat - Generic / Codes,Pristine A+ Open Box,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1097,Google Pixel 8 Pro 256GB Bay Blue - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,8, £ -   ,0, £ -   ,,
1098,Google Pixel 8 Pro 256GB Obsidian - Grade B - Standard Vat - Generic / Codes,Grade B,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1099,Google Pixel 8 Pro 256GB Obsidian - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,6, £ -   ,0, £ -   ,,
1100,Google Pixel 8a 128GB Blue - Grade A - Standard Vat - Generic / Codes,Grade A,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1101,Google Pixel 8a 128GB Blue - Grade B - Marginal Vat - Generic / Codes,Grade B,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1102,Google Pixel 8a 128GB Blue - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,2, £ -   ,0, £ -   ,,
1103,Google Pixel 8a 128GB Obsidian Black - Grade A - Marginal Vat - Generic / Codes,Grade A,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1104,Google Pixel 8a 128GB Obsidian Black - Grade C - Standard Vat - Generic / Codes,Grade C,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1105,Google Pixel 8a 128GB White - Pristine A+ Open Box - Standard Vat - Generic / Codes,Pristine A+ Open Box,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1106,Google Pixel 9 128GB Black - Grade A - Standard Vat - Generic / Codes,Grade A,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
1107,Google Pixel 9 128GB Black - Pristine A+ Open Box - Standard Vat - Generic / Codes,Pristine A+ Open Box,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
